"000:02:00.001","Info","Arena",2,"Exit_Zone",4
"000:02:00.001","Info","Arena",2,"Enter_Zone",2
"000:02:01.032","Info","Arena",1,"Exit_Zone",3
"000:02:01.032","Info","Arena",1,"Enter_Zone",4
"000:02:01.865","Info","Arena",1,"Exit_Zone",4
"000:02:01.865","Info","Arena",1,"Enter_Zone",1
"000:02:03.198","Info","Arena",2,"Exit_Zone",2
"000:02:03.198","Info","Arena",2,"Enter_Zone",4
"000:02:03.465","Info","Arena",2,"Exit_Zone",4
"000:02:03.465","Info","Arena",2,"Enter_Zone",1
"000:02:04.899","Info","Arena",2,"Exit_Zone",1
"000:02:04.899","Info","Arena",2,"Enter_Zone",4
"000:02:05.099","Info","Arena",2,"Exit_Zone",4
"000:02:05.099","Info","Arena",2,"Enter_Zone",2
"000:02:09.000","Info","Arena",2,"Exit_Zone",2
"000:02:09.000","Info","Arena",2,"Enter_Zone",4
"000:02:09.464","Info","Arena",2,"Exit_Zone",4
"000:02:09.464","Info","Arena",2,"Enter_Zone",1
"000:02:12.130","Info","Arena",1,"Exit_Zone",1
"000:02:12.130","Info","Arena",1,"Enter_Zone",4
"000:02:12.500","Info","Arena",1,"Exit_Zone",4
"000:02:12.500","Info","Arena",1,"Enter_Zone",2
"000:02:12.797","Info","Arena",2,"Exit_Zone",1
"000:02:12.797","Info","Arena",2,"Enter_Zone",4
"000:02:13.030","Info","Arena",2,"Exit_Zone",4
"000:02:13.030","Info","Arena",2,"Enter_Zone",2
"000:02:15.796","Info","Arena",2,"Exit_Zone",2
"000:02:15.796","Info","Arena",2,"Enter_Zone",4
"000:02:15.998","Info","Arena",2,"Exit_Zone",4
"000:02:15.998","Info","Arena",2,"Enter_Zone",1
"000:02:17.729","Info","Arena",1,"Exit_Zone",2
"000:02:17.729","Info","Arena",1,"Enter_Zone",4
"000:02:18.297","Info","Arena",2,"Exit_Zone",1
"000:02:18.297","Info","Arena",2,"Enter_Zone",4
"000:02:18.462","Info","Arena",1,"Exit_Zone",4
"000:02:18.462","Info","Arena",1,"Enter_Zone",3
"000:02:18.499","Info","Arena",2,"Exit_Zone",4
"000:02:18.499","Info","Arena",2,"Enter_Zone",2
"000:02:25.461","Info","Arena",2,"Exit_Zone",2
"000:02:25.461","Info","Arena",2,"Enter_Zone",4
"000:02:25.761","Info","Arena",2,"Exit_Zone",4
"000:02:25.761","Info","Arena",2,"Enter_Zone",1
"000:02:28.162","Info","Arena",2,"Exit_Zone",1
"000:02:28.162","Info","Arena",2,"Enter_Zone",4
"000:02:28.360","Info","Arena",2,"Exit_Zone",4
"000:02:28.360","Info","Arena",2,"Enter_Zone",2
"000:02:31.127","Info","Arena",2,"Exit_Zone",2
"000:02:31.127","Info","Arena",2,"Enter_Zone",4
"000:02:31.294","Info","Arena",2,"Exit_Zone",4
"000:02:31.294","Info","Arena",2,"Enter_Zone",1
"000:02:33.926","Info","Arena",2,"Exit_Zone",1
"000:02:33.926","Info","Arena",2,"Enter_Zone",4
"000:02:34.093","Info","Arena",2,"Exit_Zone",4
"000:02:34.093","Info","Arena",2,"Enter_Zone",2
"000:02:34.893","Info","Arena",2,"Exit_Zone",2
"000:02:34.893","Info","Arena",2,"Enter_Zone",4
"000:02:35.192","Info","Arena",2,"Exit_Zone",4
"000:02:35.192","Info","Arena",2,"Enter_Zone",1
"000:02:42.357","Info","Arena",2,"Exit_Zone",1
"000:02:42.357","Info","Arena",2,"Enter_Zone",4
"000:02:42.791","Info","Arena",2,"Exit_Zone",4
"000:02:42.791","Info","Arena",2,"Enter_Zone",3
"000:02:48.556","Info","Arena",2,"Exit_Zone",3
"000:02:48.556","Info","Arena",2,"Enter_Zone",4
"000:02:49.090","Info","Arena",2,"Exit_Zone",4
"000:02:49.090","Info","Arena",2,"Enter_Zone",1
"000:02:53.422","Info","Arena",2,"Exit_Zone",1
"000:02:53.422","Info","Arena",2,"Enter_Zone",4
"000:02:53.789","Info","Arena",2,"Exit_Zone",4
"000:02:53.789","Info","Arena",2,"Enter_Zone",2
"000:02:56.657","Info","Arena",2,"Exit_Zone",2
"000:02:56.657","Info","Arena",2,"Enter_Zone",4
"000:02:56.889","Info","Arena",2,"Exit_Zone",4
"000:02:56.889","Info","Arena",2,"Enter_Zone",1
"000:02:59.021","Info","Arena",2,"Exit_Zone",1
"000:02:59.021","Info","Arena",2,"Enter_Zone",4
"000:02:59.156","Info","Arena",2,"Exit_Zone",4
"000:02:59.156","Info","Arena",2,"Enter_Zone",2
"000:03:02.620","Info","Arena",2,"Exit_Zone",2
"000:03:02.620","Info","Arena",2,"Enter_Zone",4
"000:03:02.822","Info","Arena",2,"Exit_Zone",4
"000:03:02.822","Info","Arena",2,"Enter_Zone",1
"000:03:05.453","Info","Arena",2,"Exit_Zone",1
"000:03:05.453","Info","Arena",2,"Enter_Zone",4
"000:03:05.786","Info","Arena",2,"Exit_Zone",4
"000:03:05.786","Info","Arena",2,"Enter_Zone",2
"000:03:09.252","Info","Arena",2,"Exit_Zone",2
"000:03:09.252","Info","Arena",2,"Enter_Zone",4
"000:03:09.419","Info","Arena",2,"Exit_Zone",4
"000:03:09.419","Info","Arena",2,"Enter_Zone",1
"000:03:10.252","Info","Arena",1,"Exit_Zone",3
"000:03:10.252","Info","Arena",1,"Enter_Zone",4
"000:03:10.352","Info","Arena",1,"Exit_Zone",4
"000:03:10.352","Info","Arena",1,"Enter_Zone",1
"000:03:11.552","Info","Arena",2,"Exit_Zone",1
"000:03:11.552","Info","Arena",2,"Enter_Zone",4
